frequency,angle,length,velocity,thickness,pressure
16000,0,0.0254,39.6,0.000428464,124.986
1250,9.9,0.1524,71.3,0.0193001,122.679
2000,2,0.2286,71.3,0.00293031,126.896
12500,0,0.3048,55.5,0.00283081,111.076
5000,17.4,0.0254,31.7,0.0176631,117.996
500,15.4,0.0508,31.7,0.0289853,123.695
1000,17.4,0.0254,55.5,0.0165706,126.001
630,6.7,0.1016,55.5,0.0052139,133.023
8000,17.4,0.0254,71.3,0.016104,115.466
2500,0,0.1524,55.5,0.00172668,127.763
1600,9.5,0.0254,39.6,0.00449821,131.184
2500,22.2,0.0254,71.3,0.0214178,126.097
2500,5.4,0.1524,39.6,0.00485029,120.497
2000,6.7,0.1016,71.3,0.00478288,134.568
2500,9.9,0.1524,39.6,0.0233328,116.295
1250,15.4,0.0508,55.5,0.0271925,130
2000,8.4,0.0508,39.6,0.00566229,129.965
400,9.5,0.0254,55.5,0.0043284,120.952
630,0,0.2286,55.5,0.00229336,126.16
3150,8.9,0.1016,39.6,0.0124596,119.35
4000,2.7,0.1524,71.3,0.00243851,126.534
400,7.2,0.1524,39.6,0.00909175,132.118
4000,4,0.2286,71.3,0.00400603,121.728
1600,4,0.2286,55.5,0.0042862,128.264
8000,0,0.1016,55.5,0.00131983,124.45
200,17.4,0.0254,31.7,0.0176631,116.146
1000,5.4,0.1524,71.3,0.00401199,133.201
315,4,0.3048,71.3,0.00497773,128.175
400,6.7,0.1016,31.7,0.00592927,128.296
630,3.3,0.1016,39.6,0.00245138,127.251
800,4.8,0.0254,31.7,0.000930789,122.648
8000,4.2,0.0508,39.6,0.00152689,120.397
1000,9.9,0.1524,55.5,0.0208438,124.665
5000,0,0.0254,31.7,0.000439472,138.607
2000,1.5,0.3048,39.6,0.00392107,122.101
4000,4,0.2286,31.7,0.00509068,118.859
1600,4,0.3048,39.6,0.00579636,123.213
2500,0,0.3048,39.6,0.00310138,121.399
500,4.8,0.0254,39.6,0.000907475,116.366
1000,0,0.3048,39.6,0.00310138,127.899
1000,8.9,0.1016,71.3,0.0103088,135.433
400,7.3,0.2286,39.6,0.0123481,132.039
630,5.4,0.1524,55.5,0.00433288,131.807
1250,3.3,0.1016,71.3,0.00202822,132.304
1600,0,0.1016,71.3,0.00121072,131.725
500,22.2,0.0254,39.6,0.0229028,129.776
800,5.3,0.2286,71.3,0.0051942,133.48
8000,3.3,0.1016,31.7,0.00251435,117.432
800,17.4,0.0254,39.6,0.0172206,135.324
2500,6.7,0.1016,55.5,0.0052139,124.273
6300,4.8,0.0254,31.7,0.000930789,132.898
2500,5.3,0.2286,39.6,0.00614329,116.151
5000,2.7,0.1524,39.6,0.00294804,121.499
4000,15.4,0.0508,71.3,0.0264269,122.675
5000,5.3,0.2286,71.3,0.0051942,118.05
6300,5.4,0.1524,31.7,0.00525474,115.591
1250,12.3,0.1016,39.6,0.0408268,121.165
6300,1.5,0.3048,39.6,0.00392107,114.751
630,0,0.1524,31.7,0.00209405,125.997
10000,0,0.0254,39.6,0.000428464,133.376
4000,8.4,0.0508,39.6,0.00566229,118.955
4000,17.4,0.0254,71.3,0.016104,125.586
3150,17.4,0.0254,39.6,0.0172206,123.564
10000,0,0.3048,55.5,0.00283081,113.076
315,11.2,0.0508,71.3,0.014072,128.381
1250,3,0.3048,31.7,0.00529514,124.838
1250,0,0.1524,71.3,0.0015988,128.927
1000,0,0.3048,71.3,0.00266337,125.201
1000,8.4,0.0508,39.6,0.00566229,130.195
1250,0,0.2286,31.7,0.0027238,128.805
6300,7.2,0.1524,71.3,0.00752039,116.603
1250,3.3,0.1016,55.5,0.002211,132.769
12500,0,0.0254,71.3,0.000400682,133.207
2500,1.5,0.3048,71.3,0.00336729,124.512
10000,7.2,0.1524,39.6,0.00909175,110.868
8000,2.7,0.1524,71.3,0.00243851,120.534
2000,2,0.2286,31.7,0.00372371,123.037
6300,9.5,0.0254,71.3,0.00420654,127.246
3150,2,0.2286,55.5,0.00313525,123.742
1250,0,0.3048,55.5,0.00283081,126.086
1000,9.5,0.0254,31.7,0.00461377,131.346
1000,5.4,0.1524,31.7,0.00525474,128.241
5000,3.3,0.1016,31.7,0.00251435,122.082
1600,4,0.2286,39.6,0.00473801,125.319
800,11.2,0.0508,39.6,0.0150478,133.79
6300,15.4,0.0508,39.6,0.0282593,109.663
500,2,0.2286,39.6,0.00346574,125.157
200,11.2,0.0508,71.3,0.014072,125.941
6300,2,0.2286,71.3,0.00293031,120.786
630,17.4,0.0254,55.5,0.0165706,122.411
5000,7.3,0.2286,31.7,0.0132672,111.029
630,15.6,0.1016,71.3,0.0437259,122.288
315,6.7,0.1016,31.7,0.00592927,126.266
1250,3,0.3048,55.5,0.00452492,127.329
3150,9.9,0.1524,31.7,0.0252785,112.209
1000,1.5,0.3048,39.6,0.00392107,127.581
3150,2.7,0.1524,39.6,0.00294804,122.919
8000,7.2,0.1524,39.6,0.00909175,111.588
5000,8.9,0.1016,39.6,0.0124596,113.08
315,5.4,0.1524,39.6,0.00485029,125.347
2000,12.3,0.1016,71.3,0.0337792,122.218
800,8.4,0.0508,55.5,0.00544854,128.562
250,9.9,0.1524,71.3,0.0193001,135.329
6300,4,0.2286,31.7,0.00509068,112.699
1000,22.2,0.0254,39.6,0.0229028,128.416
4000,15.4,0.0508,55.5,0.0271925,120.92
315,15.4,0.0508,71.3,0.0264269,126.195
1250,0,0.1524,55.5,0.00172668,129.953
400,4,0.3048,39.6,0.00579636,128.633
1000,4.8,0.0254,39.6,0.000907475,122.956
2000,7.3,0.2286,31.7,0.0132672,115.309
5000,4,0.2286,55.5,0.0042862,120.034
250,19.7,0.0508,71.3,0.0341183,119.115
8000,4.8,0.0254,39.6,0.000907475,131.346
1250,0,0.3048,39.6,0.00310138,125.499
4000,11.2,0.0508,71.3,0.014072,122.471
1000,0,0.3048,31.7,0.00331266,127.365
1250,17.4,0.0254,55.5,0.0165706,129.301
800,12.6,0.1524,39.6,0.0584113,116.56
1250,12.7,0.0254,71.3,0.0121808,133.048
2500,0,0.0508,55.5,0.00076193,133.956
3150,17.4,0.0254,71.3,0.016104,126.536
8000,0,0.1524,39.6,0.00193287,120.553
800,5.4,0.1524,55.5,0.00433288,133.097
12500,0,0.0508,39.6,0.000791822,123.988
800,0,0.2286,39.6,0.00253511,130.205
10000,0,0.1016,39.6,0.00146332,119.561
500,0,0.2286,55.5,0.00229336,123.78
315,15.6,0.1016,71.3,0.0437259,133.808
1250,8.4,0.0508,39.6,0.00566229,131.205
500,15.4,0.0508,39.6,0.0282593,125.963
1000,0,0.2286,39.6,0.00253511,130.435
800,8.9,0.1016,71.3,0.0103088,137.813
250,15.4,0.0508,71.3,0.0264269,124.835
6300,0,0.0508,39.6,0.000791822,131.918
800,17.4,0.0254,31.7,0.0176631,139.226
500,8.9,0.1016,71.3,0.0103088,138.523
2500,3,0.3048,55.5,0.00452492,122.439
630,1.5,0.3048,39.6,0.00392107,128.311
5000,2.7,0.1524,71.3,0.00243851,124.364
3150,9.9,0.1524,71.3,0.0193001,116.849
3150,7.2,0.1524,71.3,0.00752039,116.783
800,9.9,0.1524,71.3,0.0193001,128.879
315,0,0.2286,39.6,0.00253511,121.055
630,9.5,0.0254,71.3,0.00420654,125.726
2000,4.8,0.0254,55.5,0.000873218,125.054
2500,19.7,0.0508,39.6,0.036484,116.184
3150,0,0.3048,55.5,0.00283081,123.236
1250,6.7,0.1016,31.7,0.00592927,129.256
630,12.3,0.1016,39.6,0.0408268,121.315
2500,12.7,0.0254,71.3,0.0121808,134.058
2000,4.8,0.0254,31.7,0.000930789,130.148
2000,0,0.1016,55.5,0.00131983,132.54
6300,0,0.0254,31.7,0.000439472,138.537
3150,8.4,0.0508,31.7,0.00580776,122.086
4000,2,0.2286,55.5,0.00313525,122.232
800,0,0.3048,55.5,0.00283081,128.086
1000,0,0.0508,55.5,0.00076193,125.586
2000,9.5,0.0254,71.3,0.00420654,134.976
2500,4,0.3048,39.6,0.00579636,120.233
1600,0,0.0254,39.6,0.000428464,124.156
630,0,0.1016,71.3,0.00121072,124.155
10000,1.5,0.3048,71.3,0.00336729,113.492
4000,2.7,0.1524,39.6,0.00294804,121.889
2500,1.5,0.3048,39.6,0.00392107,120.981
630,2,0.2286,39.6,0.00346574,127.417
2000,0,0.0508,55.5,0.00076193,131.456
630,15.6,0.1016,39.6,0.0528487,118.084
200,12.6,0.1524,39.6,0.0584113,114.75
1250,5.3,0.2286,39.6,0.00614329,125.721
800,0,0.3048,71.3,0.00266337,126.201
2000,5.3,0.2286,71.3,0.0051942,125.89
2000,3.3,0.1016,55.5,0.002211,133.649
5000,17.4,0.0254,55.5,0.0165706,118.941
3150,2,0.2286,31.7,0.00372371,121.527
630,12.6,0.1524,39.6,0.0584113,116.55
1600,0,0.0508,31.7,0.000812164,131.01
2000,12.7,0.0254,39.6,0.0130253,129.567
1000,0,0.0254,31.7,0.000439472,125.127
3150,4.8,0.0254,39.6,0.000907475,133.436
6300,4,0.2286,71.3,0.00400603,118.618
2500,0,0.0508,71.3,0.000740478,131.31
5000,9.5,0.0254,71.3,0.00420654,131.186
500,8.4,0.0508,31.7,0.00580776,122.966
250,9.9,0.1524,39.6,0.0233328,128.335
400,19.7,0.0508,71.3,0.0341183,123.865
1250,5.3,0.2286,71.3,0.0051942,133.38
315,7.3,0.2286,55.5,0.0111706,136.284
3150,1.5,0.3048,39.6,0.00392107,119.111
1250,7.2,0.1524,71.3,0.00752039,132.513
800,3.3,0.1016,55.5,0.002211,129.119
800,3,0.3048,31.7,0.00529514,128.708
800,5.4,0.1524,71.3,0.00401199,131.281
315,12.3,0.1016,55.5,0.0368233,135.674
2000,2.7,0.1524,71.3,0.00243851,130.114
2500,4,0.2286,31.7,0.00509068,120.209
2000,12.6,0.1524,71.3,0.0483159,117.504
630,12.3,0.1016,55.5,0.0368233,124.244
2000,2,0.2286,55.5,0.00313525,124.612
2000,7.3,0.2286,71.3,0.0104404,122.708
8000,4,0.2286,71.3,0.00400603,112.848
1600,15.4,0.0508,55.5,0.0271925,128.2
800,12.6,0.1524,71.3,0.0483159,123.054
250,17.4,0.0254,39.6,0.0172206,114.714
800,7.3,0.2286,55.5,0.0111706,128.444
630,15.4,0.0508,31.7,0.0289853,124.685
1600,12.3,0.1016,55.5,0.0368233,121.824
4000,0,0.0254,39.6,0.000428464,135.346
3150,5.4,0.1524,55.5,0.00433288,121.587
800,0,0.0508,31.7,0.000812164,122.79
4000,12.3,0.1016,31.7,0.0418756,108.407
1250,12.3,0.1016,55.5,0.0368233,124.214
315,11.2,0.0508,39.6,0.0150478,128.99
6300,0,0.2286,55.5,0.00229336,118.41
800,15.6,0.1016,39.6,0.0528487,118.964
1000,12.7,0.0254,71.3,0.0121808,131.698
10000,4.2,0.0508,39.6,0.00152689,116.967
6300,3.3,0.1016,55.5,0.002211,123.839
800,12.3,0.1016,31.7,0.0418756,120.037
200,9.9,0.1524,55.5,0.0208438,131.955
5000,4,0.3048,71.3,0.00497773,117.785
630,7.3,0.2286,71.3,0.0104404,133.768
4000,4,0.3048,39.6,0.00579636,115.863
6300,22.2,0.0254,71.3,0.0214178,123.127
3150,4,0.2286,71.3,0.00400603,124.108
12500,0,0.0508,55.5,0.00076193,125.376
5000,12.3,0.1016,55.5,0.0368233,112.014
2000,9.9,0.1524,31.7,0.0252785,116.859
4000,5.3,0.2286,71.3,0.0051942,120.33
250,19.7,0.0508,39.6,0.036484,127.224
5000,0,0.1524,71.3,0.0015988,126.457
4000,3,0.3048,31.7,0.00529514,115.608
400,0,0.2286,31.7,0.0027238,123.635
1600,0,0.2286,55.5,0.00229336,126.79
630,9.9,0.1524,31.7,0.0252785,126.049
400,15.4,0.0508,31.7,0.0289853,123.705
5000,22.2,0.0254,71.3,0.0214178,125.727
4000,9.9,0.1524,39.6,0.0233328,112.265
315,15.4,0.0508,55.5,0.0271925,125.39
2000,9.5,0.0254,55.5,0.0043284,134.052
2000,0,0.0508,71.3,0.000740478,131.06
500,19.7,0.0508,39.6,0.036484,128.444
400,5.4,0.1524,31.7,0.00525474,127.781
5000,5.4,0.1524,31.7,0.00525474,115.691
5000,0,0.0508,31.7,0.000812164,133.23
630,7.3,0.2286,31.7,0.0132672,126.189
315,0,0.3048,39.6,0.00310138,122.779
3150,7.3,0.2286,55.5,0.0111706,117.134
1000,7.2,0.1524,39.6,0.00909175,128.338
400,3,0.3048,55.5,0.00452492,126.159
400,2,0.2286,55.5,0.00313525,122.292
5000,15.6,0.1016,39.6,0.0528487,106.224
1000,2,0.2286,55.5,0.00313525,129.002
630,12.6,0.1524,71.3,0.0483159,123.304
6300,0,0.3048,39.6,0.00310138,116.229
1250,11.2,0.0508,71.3,0.014072,136.191
2000,2,0.2286,39.6,0.00346574,122.797
1000,12.3,0.1016,31.7,0.0418756,119.777
630,4.8,0.0254,39.6,0.000907475,118.696
2000,19.7,0.0508,71.3,0.0341183,120.055
16000,0,0.0254,71.3,0.000400682,130.477
2000,8.9,0.1016,39.6,0.0124596,119.04
1600,5.4,0.1524,39.6,0.00485029,126.267
6300,9.9,0.1524,71.3,0.0193001,112.039
3150,2,0.2286,71.3,0.00293031,126.116
200,12.6,0.1524,71.3,0.0483159,128.354
200,12.3,0.1016,71.3,0.0337792,130.588
4000,0,0.1524,39.6,0.00193287,125.343
10000,2.7,0.1524,71.3,0.00243851,116.724
200,11.2,0.0508,39.6,0.0150478,125.01
8000,0,0.1524,31.7,0.00209405,117.957
2500,8.4,0.0508,39.6,0.00566229,127.465
8000,0,0.3048,31.7,0.00331266,110.515
3150,0,0.2286,31.7,0.0027238,123.445
630,3.3,0.1016,31.7,0.00251435,128.952
250,15.4,0.0508,55.5,0.0271925,124.17
5000,4,0.2286,71.3,0.00400603,121.118
2000,4,0.2286,31.7,0.00509068,122.089
1250,4.2,0.0508,39.6,0.00152689,128.427
630,5.4,0.1524,71.3,0.00401199,128.971
2000,0,0.0254,31.7,0.000439472,130.697
20000,0,0.2286,71.3,0.00214345,114.474
3150,3.3,0.1016,55.5,0.002211,130.629
4000,0,0.0254,71.3,0.000400682,138.557
2500,4.8,0.0254,71.3,0.000848633,130.828
1600,3.3,0.1016,39.6,0.00245138,133.071
2500,9.9,0.1524,55.5,0.0208438,118.365
800,0,0.1016,31.7,0.00150092,129.053
500,11.2,0.0508,71.3,0.014072,130.311
315,9.9,0.1524,31.7,0.0252785,128.809
8000,0,0.1016,39.6,0.00146332,122.341
2500,0,0.3048,55.5,0.00283081,124.106
3150,12.7,0.0254,71.3,0.0121808,133.758
8000,3.3,0.1016,39.6,0.00245138,118.091
3150,2,0.2286,39.6,0.00346574,121.627
3150,3,0.3048,71.3,0.00425727,121.514
250,12.3,0.1016,39.6,0.0408268,129.675
8000,4,0.2286,55.5,0.0042862,112.524
4000,0,0.1016,31.7,0.00150092,126.933
1250,11.2,0.0508,39.6,0.0150478,130.05
250,0,0.3048,39.6,0.00310138,119.319
1000,0,0.2286,55.5,0.00229336,128.29
1250,6.7,0.1016,55.5,0.0052139,136.883
630,4,0.2286,71.3,0.00400603,129.038
500,12.6,0.1524,71.3,0.0483159,121.664
5000,4.8,0.0254,31.7,0.000930789,135.248
2500,4,0.2286,55.5,0.0042862,122.384
2500,9.9,0.1524,71.3,0.0193001,119.639
2500,0,0.0254,71.3,0.000400682,133.707
8000,7.2,0.1524,71.3,0.00752039,113.333
12500,4,0.2286,71.3,0.00400603,114.258
4000,4.8,0.0254,39.6,0.000907475,134.996
630,22.2,0.0254,39.6,0.0229028,137.026
5000,9.9,0.1524,55.5,0.0208438,112.065
1000,5.3,0.2286,39.6,0.00614329,125.581
2500,3.3,0.1016,39.6,0.00245138,130.791
1250,9.9,0.1524,55.5,0.0208438,121.635
1250,0,0.0508,39.6,0.000791822,129.148
1000,3.3,0.1016,31.7,0.00251435,133.012
1250,15.4,0.0508,71.3,0.0264269,130.845
5000,0,0.0508,55.5,0.00076193,134.556
4000,4.8,0.0254,31.7,0.000930789,135.328
2000,0,0.3048,55.5,0.00283081,126.616
800,9.5,0.0254,71.3,0.00420654,127.206
1000,0,0.1016,71.3,0.00121072,128.825
630,0,0.1016,55.5,0.00131983,126.17
1250,1.5,0.3048,71.3,0.00336729,125.872
6300,12.6,0.1524,39.6,0.0584113,103.38
400,4,0.2286,39.6,0.00473801,123.879
630,2,0.2286,55.5,0.00313525,126.842
2500,0,0.0508,39.6,0.000791822,134.938
5000,2,0.2286,71.3,0.00293031,122.816
800,4,0.3048,39.6,0.00579636,130.723
4000,22.2,0.0254,71.3,0.0214178,123.917
2000,22.2,0.0254,71.3,0.0214178,127.197
3150,0,0.1016,31.7,0.00150092,129.973
1000,8.4,0.0508,55.5,0.00544854,130.722
800,15.4,0.0508,31.7,0.0289853,125.555
1250,15.6,0.1016,39.6,0.0528487,118.214
3150,0,0.0508,55.5,0.00076193,134.826
3150,0,0.1524,71.3,0.0015988,129.377
315,2,0.2286,31.7,0.00372371,120.147
315,12.7,0.0254,71.3,0.0121808,122.938
630,12.7,0.0254,39.6,0.0130253,128.867
6300,15.4,0.0508,71.3,0.0264269,115.215
2000,12.6,0.1524,39.6,0.0584113,109.52
2000,3,0.3048,71.3,0.00425727,125.524
4000,7.3,0.2286,39.6,0.0123481,114.079
1000,3,0.3048,55.5,0.00452492,129.329
1600,17.4,0.0254,39.6,0.0172206,127.614
2500,15.4,0.0508,31.7,0.0289853,119.945
6300,4.8,0.0254,71.3,0.000848633,134.498
5000,12.3,0.1016,71.3,0.0337792,116.108
16000,0,0.2286,71.3,0.00214345,114.984
1250,9.5,0.0254,55.5,0.0043284,132.202
800,0,0.0508,55.5,0.00076193,124.336
6300,15.4,0.0508,55.5,0.0271925,112.93
400,8.4,0.0508,55.5,0.00544854,121.582
5000,1.5,0.3048,39.6,0.00392107,116.241
4000,5.4,0.1524,31.7,0.00525474,116.181
5000,0,0.3048,39.6,0.00310138,117.789
630,8.9,0.1016,39.6,0.0124596,131.92
6300,0,0.1016,31.7,0.00150092,124.253
10000,3.3,0.1016,55.5,0.002211,115.659
2500,0,0.2286,31.7,0.0027238,123.445
10000,4.2,0.0508,71.3,0.00142788,121.238
800,12.7,0.0254,71.3,0.0121808,130.348
1250,3.3,0.1016,39.6,0.00245138,133.211
3150,0,0.1016,39.6,0.00146332,130.961
1600,8.4,0.0508,31.7,0.00580776,129.296
2000,0,0.1524,55.5,0.00172668,129.673
1000,7.3,0.2286,71.3,0.0104404,126.838
2500,3.3,0.1016,71.3,0.00202822,133.894
800,7.2,0.1524,39.6,0.00909175,132.358
3150,9.5,0.0254,55.5,0.0043284,133.252
4000,0,0.0254,31.7,0.000439472,137.047
6300,0,0.2286,31.7,0.0027238,116.815
2000,11.2,0.0508,39.6,0.0150478,124.42
2500,12.3,0.1016,71.3,0.0337792,121.318
1000,6.7,0.1016,71.3,0.00478288,136.758
2000,4.8,0.0254,39.6,0.000907475,128.916
500,9.9,0.1524,31.7,0.0252785,127.179
12500,0,0.3048,71.3,0.00266337,112.241
1000,17.4,0.0254,31.7,0.0176631,131.796
500,3,0.3048,71.3,0.00425727,128.454
315,22.2,0.0254,71.3,0.0214178,115.857
250,15.4,0.0508,31.7,0.0289853,121.225
1600,9.9,0.1524,55.5,0.0208438,119.875
1600,4.8,0.0254,39.6,0.000907475,125.966
4000,9.5,0.0254,71.3,0.00420654,134.236
1250,19.7,0.0508,71.3,0.0341183,121.485
6300,15.4,0.0508,31.7,0.0289853,108.185
400,5.4,0.1524,39.6,0.00485029,127.637
2500,4.2,0.0508,71.3,0.00142788,131.978
8000,5.4,0.1524,55.5,0.00433288,114.927
500,12.3,0.1016,31.7,0.0418756,118.667
5000,12.3,0.1016,31.7,0.0418756,107.147
1000,17.4,0.0254,71.3,0.016104,125.816
5000,0,0.3048,31.7,0.00331266,115.645
400,12.7,0.0254,39.6,0.0130253,125.527
6300,0,0.1016,55.5,0.00131983,127.73
8000,4,0.3048,71.3,0.00497773,113.665
3150,0,0.1524,31.7,0.00209405,124.207
400,7.3,0.2286,55.5,0.0111706,135.924
400,9.9,0.1524,55.5,0.0208438,131.605
1000,12.6,0.1524,71.3,0.0483159,122.044
500,22.2,0.0254,71.3,0.0214178,117.967
1000,0,0.1016,39.6,0.00146332,130.781
5000,17.4,0.0254,39.6,0.0172206,119.854
250,12.7,0.0254,39.6,0.0130253,121.547
500,0,0.3048,31.7,0.00331266,127.315
800,3,0.3048,39.6,0.00495741,129.552
315,17.4,0.0254,31.7,0.0176631,118.416
12500,2.7,0.1524,71.3,0.00243851,113.034
400,0,0.2286,39.6,0.00253511,123.565
1600,7.2,0.1524,39.6,0.00909175,120.058
1000,15.4,0.0508,39.6,0.0282593,127.893
4000,3.3,0.1016,55.5,0.002211,127.229
3150,4.2,0.0508,71.3,0.00142788,133.728
315,12.3,0.1016,31.7,0.0418756,124.717
1250,0,0.1524,39.6,0.00193287,131.023
3150,11.2,0.0508,71.3,0.014072,127.141
250,4,0.3048,39.6,0.00579636,123.543
2000,9.9,0.1524,39.6,0.0233328,117.925
800,3.3,0.1016,31.7,0.00251435,131.362
12500,0,0.0508,31.7,0.000812164,119.07
500,5.3,0.2286,71.3,0.0051942,129.88
200,17.4,0.0254,55.5,0.0165706,109.951
6300,12.7,0.0254,71.3,0.0121808,125.398
2000,3.3,0.1016,39.6,0.00245138,132.301
3150,8.4,0.0508,55.5,0.00544854,128.402
12500,0,0.0254,39.6,0.000428464,129.116
630,8.9,0.1016,71.3,0.0103088,138.423
12500,0,0.3048,39.6,0.00310138,109.619
1250,7.3,0.2286,39.6,0.0123481,123.189
630,0,0.2286,31.7,0.0027238,129.465
1000,9.5,0.0254,55.5,0.0043284,130.332
500,5.4,0.1524,71.3,0.00401199,126.291
5000,0,0.2286,71.3,0.00214345,124.304
12500,0,0.1016,71.3,0.00121072,119.375
1600,2,0.2286,31.7,0.00372371,125.797
2500,0,0.1016,39.6,0.00146332,132.611
800,19.7,0.0508,71.3,0.0341183,124.555
500,12.3,0.1016,55.5,0.0368233,133.774
800,15.6,0.1016,71.3,0.0437259,124.188
630,17.4,0.0254,39.6,0.0172206,124.514
1600,0,0.1524,31.7,0.00209405,130.817
1250,0,0.3048,71.3,0.00266337,125.951
500,7.2,0.1524,71.3,0.00752039,132.043
10000,0,0.1016,71.3,0.00121072,123.305
1000,2,0.2286,71.3,0.00293031,128.956
2500,12.3,0.1016,31.7,0.0418756,110.317
1250,9.9,0.1524,39.6,0.0233328,120.555
4000,0,0.0254,55.5,0.00041229,133.223
500,0,0.1524,31.7,0.00209405,121.617
500,9.9,0.1524,55.5,0.0208438,127.815
10000,7.2,0.1524,71.3,0.00752039,110.313
3150,9.5,0.0254,31.7,0.00461377,128.536
4000,22.2,0.0254,39.6,0.0229028,119.646
3150,15.4,0.0508,71.3,0.0264269,125.715
3150,22.2,0.0254,39.6,0.0229028,120.856
2500,6.7,0.1016,71.3,0.00478288,131.458
500,12.6,0.1524,39.6,0.0584113,114.9
1600,19.7,0.0508,71.3,0.0341183,120.575
4000,0,0.3048,31.7,0.00331266,118.145
800,9.5,0.0254,39.6,0.00449821,129.014
800,6.7,0.1016,71.3,0.00478288,134.478
1000,0,0.1524,31.7,0.00209405,130.987
1600,7.3,0.2286,55.5,0.0111706,123.354
4000,3.3,0.1016,39.6,0.00245138,124.881
630,2,0.2286,71.3,0.00293031,127.356
250,12.3,0.1016,55.5,0.0368233,133.294
200,19.7,0.0508,71.3,0.0341183,118.005
5000,12.6,0.1524,39.6,0.0584113,104.13
400,12.6,0.1524,39.6,0.0584113,115.91
8000,15.4,0.0508,71.3,0.0264269,112.675
1000,4.8,0.0254,31.7,0.000930789,125.348
4000,4.8,0.0254,55.5,0.000873218,133.924
4000,9.5,0.0254,39.6,0.00449821,127.864
630,3,0.3048,31.7,0.00529514,128.698
5000,12.7,0.0254,71.3,0.0121808,128.978
400,5.4,0.1524,71.3,0.00401199,124.121
3150,12.3,0.1016,39.6,0.0408268,113.055
630,7.3,0.2286,39.6,0.0123481,128.929
5000,5.4,0.1524,55.5,0.00433288,118.757
16000,4.8,0.0254,55.5,0.000873218,124.394
1250,3,0.3048,39.6,0.00495741,125.802
630,4,0.2286,31.7,0.00509068,130.349
250,15.6,0.1016,71.3,0.0437259,132.158
1600,22.2,0.0254,39.6,0.0229028,122.216
4000,12.3,0.1016,55.5,0.0368233,114.404
8000,0,0.2286,71.3,0.00214345,118.024
2000,15.4,0.0508,31.7,0.0289853,120.835
630,4,0.3048,71.3,0.00497773,131.615
800,0,0.1016,39.6,0.00146332,128.401
250,8.9,0.1016,71.3,0.0103088,134.533
1250,15.4,0.0508,39.6,0.0282593,126.743
2500,0,0.3048,31.7,0.00331266,120.755
1600,11.2,0.0508,71.3,0.014072,135.191
2500,7.2,0.1524,39.6,0.00909175,117.478
8000,22.2,0.0254,71.3,0.0214178,121.657
2500,4.8,0.0254,31.7,0.000930789,132.588
200,7.3,0.2286,55.5,0.0111706,135.234
1000,6.7,0.1016,31.7,0.00592927,131.636
1000,8.4,0.0508,71.3,0.00529514,129.946
5000,7.3,0.2286,71.3,0.0104404,115.298
2500,5.4,0.1524,71.3,0.00401199,127.591
8000,3,0.3048,71.3,0.00425727,114.634
315,1.5,0.3048,39.6,0.00392107,121.851
6300,8.9,0.1016,39.6,0.0124596,113.11
4000,4,0.3048,71.3,0.00497773,119.535
5000,4.8,0.0254,71.3,0.000848633,135.468
400,2,0.2286,39.6,0.00346574,122.147
1000,19.7,0.0508,71.3,0.0341183,121.885
1000,2.7,0.1524,39.6,0.00294804,130.589
1600,0,0.1524,71.3,0.0015988,129.667
800,0,0.1524,71.3,0.0015988,125.817
8000,0,0.1016,31.7,0.00150092,120.193
800,4,0.3048,71.3,0.00497773,131.755
400,9.5,0.0254,31.7,0.00461377,124.756
5000,0,0.1016,31.7,0.00150092,124.393
6300,7.3,0.2286,39.6,0.0123481,110.839
400,7.3,0.2286,71.3,0.0104404,139.438
3150,11.2,0.0508,39.6,0.0150478,119.67
800,9.9,0.1524,31.7,0.0252785,125.539
1600,12.3,0.1016,31.7,0.0418756,114.477
630,4,0.3048,39.6,0.00579636,131.073
1250,2.7,0.1524,39.6,0.00294804,130.829
1000,9.5,0.0254,39.6,0.00449821,130.374
2500,0,0.0254,31.7,0.000439472,132.897
1600,15.4,0.0508,39.6,0.0282593,124.843
250,17.4,0.0254,71.3,0.016104,113.796
2000,0,0.0254,39.6,0.000428464,130.026
8000,0,0.3048,55.5,0.00283081,116.476
1250,2,0.2286,39.6,0.00346574,128.257
630,5.4,0.1524,31.7,0.00525474,131.471
630,15.4,0.0508,55.5,0.0271925,129.33
2000,0,0.1016,31.7,0.00150092,133.153
2500,5.4,0.1524,31.7,0.00525474,119.151
5000,5.4,0.1524,71.3,0.00401199,120.061
1000,0,0.2286,31.7,0.0027238,130.595
1000,3.3,0.1016,39.6,0.00245138,131.971
1250,22.2,0.0254,71.3,0.0214178,140.987
1250,8.9,0.1016,71.3,0.0103088,132.793
5000,0,0.2286,39.6,0.00253511,122.175
1000,9.5,0.0254,71.3,0.00420654,129.556
10000,4.8,0.0254,71.3,0.000848633,127.398
6300,0,0.1524,39.6,0.00193287,121.313
2500,3.3,0.1016,55.5,0.002211,132.889
4000,0,0.1016,39.6,0.00146332,127.801
630,0,0.1016,39.6,0.00146332,125.401
1600,4.8,0.0254,31.7,0.000930789,128.718
400,17.4,0.0254,31.7,0.0176631,120.766
3150,3.3,0.1016,31.7,0.00251435,128.252
800,12.7,0.0254,39.6,0.0130253,130.217
2000,0,0.3048,31.7,0.00331266,122.375
6300,3,0.3048,39.6,0.00495741,114.042
2500,9.5,0.0254,71.3,0.00420654,135.956
3150,12.7,0.0254,39.6,0.0130253,127.847
5000,0,0.1016,71.3,0.00121072,130.795
